,0
0,0.5443787
1,0.37709445
2,0.38256645
3,0.24480674
4,0.25401902
5,0.22373286
6,0.15991366
7,0.16386746
8,0.13086385
9,0.21615157
10,0.16560446
11,0.12019713
12,0.14227298
13,0.17774643
14,0.1634229
15,0.14804092
16,0.1459488
17,0.091356814
18,0.17611206
19,0.09921537
20,0.1184214
21,0.10172077
22,0.08216403
23,0.07265216
24,0.08332945
25,0.06002293
26,0.08851732
27,0.08888967
28,0.07173103
29,0.054230504
30,0.04661733
31,0.06551158
32,0.043101598
33,0.027897462
34,0.021136131
35,0.03249013
36,0.008347543
37,0.019509826
38,0.014577899
39,0.02245631
40,0.026236903
41,0.019105608
42,0.004241336
43,0.006761857
44,0.0067756074
45,0.011570448
46,0.009122056
47,0.014389835
48,0.01072026
49,0.007944711
50,0.014669534
51,0.01082151
52,0.009171668
53,0.008551699
54,0.005150212
55,0.0053263484
56,0.007871628
57,0.01220301
58,0.0071026534
59,0.010440132
60,0.003637918
61,0.0028954456
62,0.0049098497
63,0.008549069
64,0.0018797747
65,0.0011375408
66,0.00321704
67,0.0046429266
68,0.0017113579
69,0.005760232
70,0.010812569
71,0.0031062153
72,0.0047509493
73,0.0036268374
74,0.0018256654
75,0.0014469448
76,0.0013070013
77,0.0005940511
78,0.003940298
79,0.007358237
80,0.005117016
81,0.0049132705
82,0.0046858992
83,0.006510255
84,0.0022464048
85,0.0019482342
86,0.0015126653
87,0.00054385467
88,0.004743062
89,0.0003346234
90,0.0015888683
91,0.004481275
92,0.0023080097
93,0.0020474177
94,0.0031888818
95,0.0015718266
96,0.003221938
97,0.002021059
98,0.0036085881
99,0.0023563083
100,0.0019915488
101,0.0012840913
102,0.0021097718
103,0.000968536
104,0.0016385944
105,0.0033065693
106,0.0038722726
107,0.00181376
108,0.0049630776
109,0.0025808061
110,0.001321244
111,0.0011191766
112,0.0013989958
113,0.0026981635
114,0.0017627829
115,0.0014967581
116,0.0014570467
117,0.0025349786
118,0.0007082568
119,0.0019392483
120,0.0015223544
121,0.004328155
122,0.0031987354
123,0.0045387866
124,0.001546138
125,0.0006343533
126,0.0025950004
127,0.0011081737
128,0.003439108
129,0.0022081414
130,0.0015961663
131,0.0021468815
132,0.0042483835
133,0.0025495142
134,0.0018674256
135,0.00042703724
136,0.0012420097
137,0.004150859
138,0.0036885154
139,0.0028895852
140,0.0017295888
141,0.0013637415
142,0.0039188988
143,0.00074842747
144,0.0039045748
145,0.00086311554
146,0.0010991469
147,0.0015481932
148,0.0038196146
149,0.0014923889
150,0.0018435328
151,0.0042844806
152,0.0028089588
153,0.0011063265
154,0.0012014217
155,0.00064364914
156,0.0027321973
157,0.0012355063
158,0.00081582007
159,0.0030396143
160,0.0019658355
161,0.0012929738
162,0.0022879546
163,0.0017421659
164,0.002070133
165,0.001177357
166,0.0007090445
167,0.0039648083
168,0.0048521655
169,0.0019901257
170,0.002067495
171,0.0017444473
172,0.0010811449
173,0.0018738785
174,0.0020409564
175,0.0031864238
176,0.0082573425
177,0.0024276376
178,0.0004984848
179,0.002996982
180,0.0049486635
181,0.002221148
182,0.0007078055
183,0.0019385068
184,0.00040474295
185,0.0011643672
186,0.0015415006
187,0.0017901522
188,0.0026671975
189,0.0017751071
190,0.0010579065
191,0.0015123829
192,0.00041954056
193,0.0011066737
194,0.0012002498
195,0.004591567
196,0.0014416892
197,0.0012735266
198,0.0007090662
199,0.00057686964
200,0.004680559
201,0.0007618177
202,0.0018517469
203,0.0009361414
204,0.0015897625
205,0.0009875132
206,0.0019233492
207,0.003687895
208,0.00114455
209,0.0017579922
210,0.00062678824
211,0.0011822486
212,0.00173692
213,0.0008698321
214,0.0015893157
215,0.0016071302
216,0.0017254507
217,0.0005244523
218,0.0037026855
219,0.00078261405
220,0.0018327078
221,0.0032762808
222,0.0015396194
223,0.0033789894
224,0.0032083082
225,0.001589743
226,0.0029734261
227,0.0014938517
228,0.0032422626
229,0.0018820589
230,0.0037350454
231,0.0033732874
232,0.0021324772
233,0.0027579386
234,0.006524434
235,0.0011209215
236,0.0011659177
237,0.0024660244
238,0.0018733916
239,0.00070792425
240,0.0016659817
241,0.0008645313
242,0.0016030094
243,0.0020646753
244,0.0042411606
245,0.001309193
246,0.0018659816
247,0.0022703886
248,0.0052790865
249,0.0022907322
250,0.0011971251
251,0.0029845377
252,0.0037534358
253,0.0042559667
254,0.0009902418
255,0.0012584447
256,0.0017993748
257,0.0037193638
258,0.0042103203
259,0.0021593287
260,0.0027192098
261,0.0019208932
262,0.0011261818
263,0.001242517
264,0.00085122045
265,0.0015307793
266,0.0019615423
267,0.0023749445
268,0.0014151488
269,0.0018465264
270,0.0035351282
271,0.0016494221
272,0.001223176
273,0.0039290497
274,0.006368454
275,0.0012469231
276,0.0067498903
277,0.0018441833
278,0.0019077541
279,0.0011434689
280,0.002618159
281,0.0015286889
282,0.004494475
283,0.004280054
284,0.0018516686
285,0.0017611076
286,0.0031840496
287,0.0021027683
288,0.0009169563
289,0.00071629457
290,0.0024638027
291,0.0032606602
292,0.0034860517
293,0.0060862144
294,0.007418724
295,0.003046813
296,0.0052645537
297,0.0022520772
298,0.004661372
299,0.0037108674
300,0.004584655
301,0.0069530737
302,0.000879112
303,0.0019296729
304,0.0017141527
305,0.003531924
306,0.0010673308
307,0.00039961783
308,0.0009754154
309,0.0042823483
310,0.0046797544
311,0.0036889361
312,0.0022470476
313,0.0021266132
314,0.0023204659
315,0.0038055177
316,0.0038504205
317,0.0054856692
318,0.003928342
319,0.0022359863
320,0.0022770097
321,0.0028925387
322,0.0028666686
323,0.0019799033
324,0.0037643048
325,0.001651715
326,0.0022415556
327,0.0021341853
328,0.0032520853
329,0.0030670792
330,0.0010027916
331,0.0009581539
332,0.004145406
333,0.003516467
334,0.002913914
335,0.0031074723
336,0.0024997192
337,0.0014782316
338,0.0006080163
339,0.0018608974
340,0.00078093004
341,0.0020600497
342,0.0030304464
343,0.0015032537
344,0.001729033
345,0.0019968704
346,0.004341284
347,0.0022032228
348,0.0011618581
349,0.0025513498
350,0.0011719385
351,0.00219551
352,0.0010718878
353,0.0048575844
354,0.00067179103
355,0.0007487497
356,0.0007971717
357,0.0007746875
358,0.0014422475
359,0.0013740718
360,0.0008353909
361,0.0006837554
362,0.00065483246
363,0.00054707093
364,0.005346638
365,0.002302315
366,0.00067563966
367,0.0009754408
368,0.00314228
369,0.002169758
370,0.003994927
371,0.0036699485
