,0
0,0.15938798
1,0.33182588
2,0.33916152
3,0.51219225
4,0.56412524
5,0.67471683
6,0.8757508
7,0.9806142
8,1.275106
9,1.0568134
10,1.0956315
11,1.1624756
12,0.9845753
13,0.88106894
14,0.88834435
15,0.99140334
16,0.88954353
17,0.8649123
18,0.86727834
19,0.7679957
20,0.8093749
21,0.89172745
22,0.96198905
23,0.9772212
24,1.0022817
25,0.90108156
26,0.97957957
27,1.101675
28,1.0284386
29,1.0955746
30,1.1416812
31,1.1617627
32,1.1460125
33,1.1973867
34,1.0807011
35,1.1396472
36,1.0999843
37,1.1453792
38,1.1612368
39,1.0913501
40,1.2051497
41,1.1574688
42,1.100898
43,1.1230352
44,1.0831228
45,1.1144423
46,1.1154006
47,1.1350415
48,1.1415112
49,1.1851152
50,1.1522784
51,1.1541951
52,1.1944805
53,1.1859276
54,1.2078781
55,1.2051588
56,1.2103097
57,1.2106518
58,1.2169669
59,1.2278249
60,1.2119398
61,1.2119358
62,1.2024099
63,1.2054038
64,1.1511006
65,1.1265931
66,1.1476282
67,1.1659089
68,1.1413637
69,1.150604
70,1.1578333
71,1.1071932
72,1.1638544
73,1.1281171
74,1.112029
75,1.131974
76,1.1517367
77,1.1499066
78,1.1583128
79,1.1856042
80,1.1766734
81,1.1861624
82,1.1643877
83,1.1601751
84,1.1636367
85,1.1541526
86,1.1661899
87,1.1686804
88,1.188427
89,1.1481943
90,1.1698422
91,1.1923289
92,1.1490018
93,1.1403296
94,1.1461058
95,1.1328447
96,1.1217455
97,1.1317251
98,1.1436765
99,1.1344438
100,1.1526442
101,1.1270461
102,1.1390814
103,1.137575
104,1.1360817
105,1.1548204
106,1.1704296
107,1.1751578
108,1.163244
109,1.161013
110,1.1887515
111,1.1622899
112,1.1895347
113,1.1795034
114,1.1543388
115,1.1588602
116,1.1532735
117,1.1442102
118,1.1443404
119,1.1492698
120,1.15216
121,1.1741667
122,1.1781242
123,1.1847944
124,1.1636658
125,1.1644787
126,1.1562293
127,1.1696553
128,1.184289
129,1.1612058
130,1.1431367
131,1.1428213
132,1.1348512
133,1.1905768
134,1.1579145
135,1.150459
136,1.1640102
137,1.2131574
138,1.1764302
139,1.2042983
140,1.1923208
141,1.1612796
142,1.1955389
143,1.140169
144,1.1885607
145,1.120522
146,1.1438966
147,1.1313518
148,1.1297106
149,1.1286025
150,1.1383584
151,1.1300383
152,1.1496037
153,1.1259553
154,1.1551645
155,1.1481857
156,1.1852309
157,1.1775022
158,1.1573349
159,1.163058
160,1.180408
161,1.1508725
162,1.1879636
163,1.1850791
164,1.2078022
165,1.1901155
166,1.1922517
167,1.1602218
168,1.1833376
169,1.14311
170,1.1556259
171,1.1600622
172,1.1257455
173,1.1411647
174,1.1117326
175,1.1376377
176,1.1614819
177,1.1425104
178,1.1359506
179,1.1645432
180,1.2017622
181,1.1867969
182,1.1464862
183,1.1491706
184,1.1141756
185,1.1528181
186,1.1880057
187,1.1072428
188,1.136836
189,1.1427999
190,1.1241393
191,1.1477454
192,1.1483263
193,1.1544468
194,1.1627859
195,1.1512703
196,1.1761917
197,1.1588854
198,1.1607337
199,1.1342733
200,1.158793
201,1.1453668
202,1.1266162
203,1.1313766
204,1.1170933
205,1.1698172
206,1.1264935
207,1.1606097
208,1.1809385
209,1.1566634
210,1.1691568
211,1.1667022
212,1.1403481
213,1.1639159
214,1.1709081
215,1.1694645
216,1.181269
217,1.1669457
218,1.1524702
219,1.1545012
220,1.1514409
221,1.1593267
222,1.1416128
223,1.1393455
224,1.1432041
225,1.1247294
226,1.1338229
227,1.1362653
228,1.1399435
229,1.1534526
230,1.150767
231,1.1571703
232,1.1397384
233,1.1797622
234,1.1840713
235,1.1557413
236,1.1389134
237,1.1600139
238,1.1567726
239,1.1859566
240,1.1742624
241,1.1614105
242,1.2012926
243,1.1967368
244,1.1800572
245,1.1667992
246,1.1558887
247,1.138341
248,1.1514711
249,1.1158671
250,1.0874348
251,1.0942705
252,1.1266296
253,1.1630943
254,1.137947
255,1.17972
256,1.1857471
257,1.2082762
258,1.2152914
