,0
0,28.0
1,18.0
2,13.0
3,13.0
4,61.0
5,28.0
6,32.0
7,15.0
8,29.0
9,15.0
10,11.0
11,16.0
12,68.0
13,14.0
14,19.0
15,10.0
16,17.0
17,22.0
18,19.0
19,12.0
20,43.0
21,36.0
22,10.0
23,12.0
24,10.0
25,12.0
26,23.0
27,22.0
28,16.0
29,28.0
30,41.0
31,23.0
32,38.0
33,14.0
34,47.0
35,16.0
36,31.0
37,99.0
38,12.0
39,23.0
40,15.0
41,10.0
42,19.0
43,10.0
44,24.0
45,19.0
46,12.0
47,26.0
48,11.0
49,20.0
50,39.0
51,18.0
52,12.0
53,18.0
54,14.0
55,14.0
56,20.0
57,10.0
58,40.0
59,10.0
60,23.0
61,14.0
62,18.0
63,21.0
64,10.0
65,12.0
66,16.0
67,14.0
68,28.0
69,21.0
70,16.0
71,18.0
72,17.0
73,8.0
74,14.0
75,13.0
76,16.0
77,10.0
78,17.0
79,27.0
80,18.0
81,16.0
82,17.0
83,19.0
84,13.0
85,13.0
86,14.0
87,18.0
88,11.0
89,30.0
90,23.0
91,11.0
92,13.0
93,13.0
94,16.0
95,19.0
96,13.0
97,17.0
98,11.0
99,11.0
100,16.0
101,11.0
102,18.0
103,16.0
104,17.0
105,42.0
106,12.0
107,17.0
108,14.0
109,15.0
110,10.0
111,12.0
112,66.0
113,14.0
114,19.0
115,10.0
116,11.0
117,11.0
118,21.0
119,18.0
120,11.0
121,16.0
122,14.0
123,10.0
124,23.0
125,14.0
126,10.0
127,11.0
128,13.0
129,28.0
130,19.0
131,14.0
132,67.0
133,12.0
134,11.0
135,66.0
136,46.0
137,13.0
138,49.0
139,17.0
140,14.0
141,52.0
142,15.0
143,22.0
144,40.0
145,15.0
146,34.0
147,35.0
148,28.0
149,17.0
150,23.0
151,34.0
152,18.0
153,56.0
154,13.0
155,18.0
156,11.0
157,65.0
158,56.0
159,18.0
160,15.0
161,46.0
162,30.0
163,56.0
164,21.0
165,87.0
166,65.0
167,69.0
168,25.0
169,20.0
170,29.0
171,23.0
172,26.0
173,30.0
174,33.0
175,20.0
176,82.0
177,81.0
178,67.0
179,19.0
180,40.0
181,100.0
182,118.0
183,22.0
